id,score
0,3.0572458247885566
1,3.0572458243268295
2,3.057245824452102
3,3.057245823856714
4,3.057245823873051
5,3.0572458246565133
6,3.0572458247536205
7,3.0572458240720684
8,3.057245824210517
9,3.057245824448379
10,3.057245823944681
11,3.0572458236223503
12,3.057245823553609
13,3.057245824151609
14,3.0572458237522415
15,3.057245825025956
16,3.0572458250913304
17,3.0572458250178722
18,3.057245824584372
19,3.057245824083431
20,3.057245824220905
21,3.0572458243084273
22,3.057245824520419
23,3.0572458245497587
24,3.0572458242003764
25,3.057245823835145
26,3.0572458250223398
27,3.0572458235533277
28,3.057245825909008
29,3.0572458240278797
30,3.0572458241763028
31,3.0572458242934193
32,3.057245823564605
33,3.0572458244532243
34,3.057245823817632
35,3.0572458252057872
36,3.0572458246478975
37,3.057245824527375
38,3.0572458239746227
39,3.057245824469014
40,3.0572458237422344
41,3.057245825608189
42,3.0572458239875586
43,3.0572458236542883
44,3.0572458245248795
45,3.057245823829842
46,3.057245824034021
47,3.0572458249217904
48,3.0572458250318033
49,3.0572458242102005
50,3.0572458235073303
51,3.0572458244731906
52,3.0572458246232563
53,3.0572458237765705
54,3.0572458238435667
55,3.057245824532528
56,3.0572458235701974
57,3.057245824462283
58,3.057245824592656
59,3.057245824661649
60,3.057245823886128
61,3.057245824890276
62,3.0572458237441222
63,3.057245824002295
64,3.0572458248826213
65,3.057245823961347
66,3.0572458249577084
67,3.0572458244487337
68,3.0572458243502343
69,3.057245823775811
70,3.0572458247661034
71,3.057245824398861
72,3.057245823550676
73,3.0572458244800695
74,3.0572458246219654
75,3.0572458236528015
76,3.0572458236834286
77,3.057245824113192
78,3.0572458241719724
79,3.057245824056035
80,3.057245824032695
81,3.057245824048898
82,3.0572458252185455
83,3.057245824608672
84,3.0572458236952027
85,3.0572458249916687
86,3.057245824262764
87,3.0572458245450713
88,3.057245823730997
89,3.0572458238663374
90,3.0572458239202347
91,3.057245824200651
92,3.0572458236927855
93,3.057245823180349
94,3.0572458240423606
95,3.057245824510364
96,3.0572458239867357
97,3.0572458237179796
98,3.057245824052361
99,3.057245824786837
100,3.0572458233907542
101,3.0572458238773033
102,3.057245824592455
103,3.057245824890058
104,3.0572458252560395
105,3.0572458246817176
106,3.057245823996934
107,3.057245824086762
108,3.057245824887862
109,3.0572458246525622
110,3.057245823538009
111,3.057245824056866
112,3.0572458238776705
113,3.05724582379792
114,3.0572458245222536
115,3.0572458239437745
116,3.0572458242695517
117,3.0572458235517517
118,3.0572458245153586
119,3.0572458238131857
120,3.0572458244800145
121,3.057245823961374
122,3.0572458240784655
123,3.05724582448238
124,3.0572458241228553
125,3.0572458235692688
126,3.057245824107708
127,3.0572458234059807
128,3.0572458234581252
129,3.0572458252069774
130,3.057245823596198
131,3.057245824277656
132,3.057245823651381
133,3.0572458237955322
134,3.057245823925136
135,3.0572458237585756
136,3.05724582302246
137,3.057245823770903
138,3.0572458238939673
139,3.0572458235648985
140,3.057245824405369
141,3.0572458236963973
142,3.0572458243265723
143,3.057245824599881
144,3.057245824708197
145,3.0572458241857876
146,3.0572458230786133
147,3.057245824099455
148,3.0572458243413947
149,3.057245824157682
150,3.057245823869242
151,3.0572458242400677
152,3.0572458250690024
153,3.057245823892485
154,3.05724582382642
155,3.057245823500861
156,3.057245824044123
157,3.057245824179333
158,3.05724582431694
159,3.0572458245378615
160,3.057245823982927
161,3.0572458244806526
162,3.0572458238545286
163,3.057245823251834
164,3.0572458245330187
165,3.0572458242969587
166,3.0572458242745753
167,3.0572458239161207
